Region,ClassGrade,Gender,Ageyears,Height_cm,Travel_to_School,Travel_time_to_School,Favourite_physical_activity,Allergies,Vegetarian,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Outdoor_Activities_Hours,Computer_Use_Hours,Watching_TV_Hours,Work_At_Home_Hours
WI,12,Male,null,193,Car,15,Other,Yes,No,Science,6,9,10,3,5,2
WI,12,Male,null,193,Car,15,Other,Yes,No,Science,6,9,10,3,5,2
WI,8,Male,14,174,Bicycle,8,Baseball/Softball,Yes,No,Physical education,7,9,12,4,6,3
CA,12,Male,17,62,Car,8,Soccer,No,No,Other,8,10,15,3,0,20
IN,12,Male,17,179,Bus,20,Athletics,No,No,Social studies,6,9,1,3,2,5
MO,11,Male,16,180,null,25,Soccer,No,No,Mathematics and statistics,7,10,1,3,0,0
MN,11,Male,16,175,Bus,45,Other,No,No,Other,5.5,6.5,7,1,20,3
IN,12,Female,17,160.2,Bus,15,Other,No,No,English,5,4,,70,70,14
NC,11,Female,16,175,Bus,10,Cycling,Yes,No,Mathematics and statistics,8,9,3,8,4,7
GA,6,Female,11,142,Bus,30,Gymnastics,No,No,Art,8,,,,,
NY,12,Female,17,173,Car,10,Other,No,No,Science,8,12,2,50,50,1
CO,12,Female,17,168,Car,20,Baseball/Softball,No,No,Social studies,6,10,15,20,15,10
VA,11,Female,16,171.2,Car,10,Soccer,No,No,Science,6.5,9.5,6,15,8,4
AZ,12,Male,17,178,Car,15,Athletics,No,No,Physical education,8,7,13,6,0,1
WI,12,Male,16,186,Car,5,Basketball,No,No,History,7,11,5,12,1,4
SC,12,Female,18,69,Bus,8,Basketball,Yes,No,Science,5,2,12,2,0,20
WI,6,Male,12,141,Bus,70,Running/Jogging,No,No,Mathematics and statistics,10,12,0,3,3,2
IL,10,Female,15,160,Walk,30,Other,No,No,Art,8,5,2,30,6,14
MI,9,Female,14,173,Car,2,Swimming,Yes,No,Art,5,10,20,2,0.5,2
IL,6,Female,12,156,Bus,60,Other,No,No,Physical education,10,7,10,0,2,8
